id,sex,ageM,trialOrd,frm,idtrialOrd,trialNum,pointLR,conf,faceAngRaw,faceAngMod,gazeAngRaw,gazeAngMod,pointLRConf
1,m,18,5,33,1_5,62,R,0.88,0.032,0.010285356,0.004,0.000564319,4
1,m,18,5,34,1_5,62,R,0.88,0.033,0.011456302,0.005,0.001723836,4
1,m,18,5,35,1_5,62,R,0.88,0.034,0.012454608,0.005,0.001723578,4
1,m,18,5,36,1_5,62,R,0.88,0.038,0.01676419,0.008,0.005037613,4
1,m,18,5,37,1_5,62,R,0.88,0.04,0.019164088,0.009,0.006431934,4
1,m,18,5,38,1_5,62,R,0.88,0.037,0.01644045,0.008,0.005672545,4
1,m,18,5,39,1_5,62,R,0.88,0.039,0.018603836,0.009,0.006830273,4
1,m,18,5,40,1_5,62,R,0.88,0.041,0.020853466,0.01,0.008067135,4
1,m,18,5,41,1_5,62,R,0.88,0.042,0.021925581,0.01,0.008144996,4
1,m,18,5,42,1_5,62,R,0.88,0.043,0.022942889,0.011,0.009146596,4
1,m,18,5,43,1_5,62,R,0.88,0.04,0.020110119,0.008,0.006232893,4
1,m,18,5,44,1_5,62,R,0.88,0.036,0.015909343,0.002,-6.79E-05,4
1,m,18,5,45,1_5,62,R,0.88,0.023,0.002123732,-0.008,-0.010845391,4
1,m,18,5,46,1_5,62,R,0.88,0,-0.022380614,-0.025,-0.029326582,4
1,m,18,5,47,1_5,62,R,0.88,-0.002,-0.024358021,-0.026,-0.030322213,4
1,m,18,5,48,1_5,62,R,0.88,-0.038,-0.062791775,-0.052,-0.058737607,4
1,m,18,5,49,1_5,62,R,0.88,-0.077,-0.104308333,-0.079,-0.088236031,4
1,m,18,5,50,1_5,62,R,0.88,-0.107,-0.136637366,-0.102,-0.113569515,4
1,m,18,5,51,1_5,62,R,0.88,-0.142,-0.173894196,-0.128,-0.141782989,4
1,m,18,5,52,1_5,62,R,0.88,-0.16,-0.193502411,-0.142,-0.157408121,4
1,m,18,5,53,1_5,62,R,0.88,-0.173,-0.208220094,-0.15,-0.167084942,4
1,m,18,5,54,1_5,62,R,0.88,-0.164,-0.199039514,-0.147,-0.16399729,4
1,m,18,5,55,1_5,62,R,0.88,-0.17,-0.206290364,-0.151,-0.169245132,4
1,m,18,5,56,1_5,62,R,0.88,-0.169,-0.205768824,-0.152,-0.170793991,4
1,m,18,5,57,1_5,62,R,0.88,-0.177,-0.214338569,-0.158,-0.177387961,4
1,m,18,5,58,1_5,62,R,0.88,-0.182,-0.219825483,-0.161,-0.180864254,4
1,m,18,5,59,1_5,62,R,0.88,-0.183,-0.22064177,-0.161,-0.180694251,4
1,m,18,5,60,1_5,62,R,0.88,-0.194,-0.232292241,-0.169,-0.189330108,4
1,m,18,6,1,1_6,81,R,0.88,0.023,0.005760278,-0.006,-0.006193818,5
1,m,18,6,2,1_6,81,R,0.88,0.024,0.007000986,-0.003,-0.002750423,5
1,m,18,6,3,1_6,81,R,0.88,0.031,0.014125081,0.002,0.002552372,5
1,m,18,6,4,1_6,81,R,0.88,0.035,0.01840653,0.006,0.006853543,5
1,m,18,6,5,1_6,81,R,0.88,0.036,0.019739978,0.008,0.009151755,5
1,m,18,6,6,1_6,81,R,0.88,0.036,0.019725336,0.007,0.008152792,5
1,m,18,6,7,1_6,81,R,0.88,0.04,0.023848738,0.01,0.011305052,5
